SUPPLIERS AND EMPLOYEE WEIGHTING RATIO,,,,,,,,,,,,,,,,
,added value of suppliers (source: income statement),Splitted added value (source¿?),Country,PPP index (source¿?),Added value adjusted,Total,%,ITUC (average),Industry,nace,ecol. Impact (A3),,,social impact (A1),,
IRQ Iraq ,Iraq,3.18306336487877000,-,Asia,5.0000000000000000,,,,IRQ,,,,,,,
ISL Iceland ,Iceland,1.09979988644301000,-,Europe,1.0000000000000000,,,,ISL,,,,,,,
ISR Israel ,Israel,1.14889304611276000,-,Asia,2.0000000000000000,,,,ISR,,,,,,,
ITA Italy ,Italy,1.18058804707867000,-,Europe,1.0000000000000000,,,,ITA,,,,,,,
JAM Jamaica ,Jamaica,1.92093936900476000,-,Americas,2.0000000000000000,est,,,JAM,,,,,,,
JOR Jordan ,Jordan,2.90163414252058000,-,Asia,3.0000000000000000,,,,JOR,,,,,,,
JPN Japan ,Japan,0.87484943606905500,-,Asia,2.0000000000000000,,,,JPN,,,,,,,
KAZ Kazakhstan ,Kazakhstan,2.49694516023884000,-,Asia,5.0000000000000000,est,,,KAZ,,,,,,,
KEN Kenya ,Kenya,2.88450313953267000,-,Africa,4.0000000000000000,,,,KEN,,,,,,,
KGZ Kyrgyzstan ,Kyrgyz Republic,3.57311837466336000,-,Asia,4.4700000000000000,est,,,KGZ,,,,,,,
KHM Cambodia ,Cambodia,3.61884335777300000,-,Asia,5.0000000000000000,,,,KHM,,,,,,,
KIR Kiribati ,Kiribati,1.30165845967961000,-,Oceania,4.0500000000000000,est,,,KIR,,,,,,,
KNA Saint Kitts and Nevis ,St. Kitts and Nevis,1.78294192120090000,-,Americas,3.5200000000000000,est,,,KNA,,,,,,,
"KOR Korea, Republic of ","Korea, Rep.",1.49883654502849000,-,Asia,5.0000000000000000,,,,KOR,,,,,,,
KWT Kuwait ,Kuwait,2.20153645956369000,-,Asia,5.0000000000000000,est,,,KWT,,,,,,,
LAO Lao People's Democratic Republic ,Lao PDR,4.16649643284694000,-,Asia,5.0000000000000000,est,,,LAO,,,,,,,
LBN Lebanon ,Lebanon,2.09305533885327000,-,Asia,4.0000000000000000,,,,LBN,,,,,,,
LBR Liberia ,Liberia,2.41769603819921000,-,Africa,3.0000000000000000,est,,,LBR,,,,,,,
LBY Libya ,Libya,2.75505386637709000,-,Africa,6.0000000000000000,,,,LBY,,,,,,,
LCA Saint Lucia ,St. Lucia,1.63593725708704000,-,Americas,3.5200000000000000,est,,,LCA,,,,,,,
LIE Liechtenstein ,Liechtenstein,1.03314026740667000,est,Europe,2.5500000000000000,est,,,LIE,,,,,,,
LKA Sri Lanka ,Sri Lanka,3.28427162595014000,-,Asia,4.0000000000000000,,,,LKA,,,,,,,
LSO Lesotho ,Lesotho,2.47811985555268000,-,Africa,3.0000000000000000,est,,,LSO,,,,,,,
LTU Lithuania ,Lithuania,1.85143851546861000,-,Europe,2.0000000000000000,,,,LTU,,,,,,,
LUX Luxembourg ,Luxembourg,0.97168663646973500,-,Europe,2.5500000000000000,est,,,LUX,,,,,,,
LVA Latvia ,Latvia,1.69674161653491000,-,Europe,2.0000000000000000,,,,LVA,,,,,,,
MAC Macao ,"Macao SAR, China",1.42064266001028000,-,Asia,4.4700000000000000,est,,,MAC,,,,,,,
MAF Saint Martin (French part) ,St. Martin (French part),1.00304566871495000,est,Americas,3.5200000000000000,est,,,MAF,,,,,,,
MAR Morocco ,Morocco,2.67261750909284000,-,Africa,3.0000000000000000,,,,MAR,,,,,,,
MCO Monaco ,Monaco,1.03314026740667000,est,Europe,2.5500000000000000,est,,,MCO,,,,,,,
"MDA Moldova, Republic of ",Moldova,2.25315726743438000,-,Europe,2.0000000000000000,est,,,MDA,,,,,,,
MDG Madagascar ,Madagascar,3.58543328949212000,-,Africa,3.0000000000000000,est,,,MDG,,,,,,,
MDV Maldives ,Maldives,1.48178216180297000,-,Asia,4.4700000000000000,est,,,MDV,,,,,,,
MEX Mexico ,Mexico,2.05145616578543000,-,Americas,4.0000000000000000,,,,MEX,,,,,,,
MHL Marshall Islands ,Marshall Islands,1.05302676594396000,-,Oceania,4.0500000000000000,est,,,MHL,,,,,,,
"MKD Macedonia, The Former Yugoslav Republic of ","Macedonia, FYR",2.68892468375959000,-,Europe,4.0000000000000000,est,,,MKD,,,,,,,
MLI Mali ,Mali,2.57503438687046000,-,Africa,4.0000000000000000,est,,,MLI,,,,,,,
MLT Malta ,Malta,1.41473510043781000,-,Europe,2.5500000000000000,est,,,MLT,,,,,,,
MMR Myanmar ,Myanmar,5.03338280567596000,-,Asia,4.0000000000000000,,,,MMR,,,,,,,
MNE Montenegro ,Montenegro,2.33937498344094000,-,Europe,2.0000000000000000,est,,,MNE,,,,,,,
MNG Mongolia ,Mongolia,3.34808361915383000,-,Asia,4.4700000000000000,est,,,MNG,,,,,,,
MNP Northern Mariana Islands ,Northern Mariana Islands,1.49858687129258000,est,Oceania,4.0500000000000000,est,,,MNP,,,,,,,
MOZ Mozambique ,Mozambique,2.92549812679193000,-,Africa,3.0000000000000000,,,,MOZ,,,,,,,
MRT Mauritania ,Mauritania,3.49162557138053000,-,Africa,4.0000000000000000,est,,,MRT,,,,,,,
MUS Mauritius ,Mauritius,2.11332345722178000,-,Africa,3.0000000000000000,est,,,MUS,,,,,,,
MWI Malawi ,Malawi,3.36672361772536000,-,Africa,2.0000000000000000,est,,,MWI,,,,,,,
MYS Malaysia ,Malaysia,2.79446955409586000,-,Asia,4.0000000000000000,,,,MYS,,,,,,,
NAM Namibia ,Namibia,1.87168719422053000,-,Africa,3.0000000000000000,,,,NAM,,,,,,,
NCL New Caledonia ,New Caledonia,1.49858687129258000,est,Oceania,4.0500000000000000,est,,,NCL,,,,,,,
NER Niger ,Niger,2.56877399237927000,-,Africa,3.7900000000000000,est,,,NER,,,,,,,
NGA Nigeria ,Nigeria,2.95380321903588000,-,Africa,4.0000000000000000,,,,NGA,,,,,,,
NIC Nicaragua ,Nicaragua,2.72737215620373000,-,Americas,3.5200000000000000,est,,,NIC,,,,,,,
NLD Netherlands ,Netherlands,1.06232796908283000,-,Europe,1.0000000000000000,,,,NLD,,,,,,,
NOR Norway ,Norway,0.80187017916535700,-,Europe,1.0000000000000000,,,,NOR,,,,,,,
NPL Nepal ,Nepal,2.98821859576289000,-,Asia,3.0000000000000000,,,,NPL,,,,,,,
NRU Nauru ,Nauru,1.66896910835960000,-,Oceania,4.0500000000000000,est,,,NRU,,,,,,,
NZL New Zealand ,New Zealand,0.97759200461403900,-,Oceania,2.0000000000000000,est,,,NZL,,,,,,,
OMN Oman ,Oman,2.55007818491257000,-,Asia,4.0000000000000000,,,,OMN,,,,,,,
PAK Pakistan ,Pakistan,3.75542640637986000,-,Asia,4.0000000000000000,,,,PAK,,,,,,,
PAN Panama ,Panama,1.64067914480798000,-,Americas,4.0000000000000000,,,,PAN,,,,,,,
PER Peru ,Peru,2.07716190378341000,-,Americas,4.0000000000000000,,,,PER,,,,,,,
PHL Philippines ,Philippines,2.88492187500790000,-,Asia,5.0000000000000000,,,,PHL,,,,,,,
PLW Palau ,Palau,1.16714219795955000,-,Oceania,4.0500000000000000,est,,,PLW,,,,,,,
PNG Papua New Guinea ,Papua New Guinea,1.58820813865067000,-,Oceania,4.0500000000000000,est,,,PNG,,,,,,,
POL Poland ,Poland,2.03208508009455000,-,Europe,3.0000000000000000,,,,POL,,,,,,,
PRI Puerto Rico ,Puerto Rico,1.24925443116417000,-,Americas,3.5200000000000000,est,,,PRI,,,,,,,
"PRK Korea, Democratic People's Republic of ","Korea, Dem. People’s Rep.",3.72318750786458000,est,Asia,4.4700000000000000,est,,,PRK,,,,,,,
PRT Portugal ,Portugal,1.42752782159009000,-,Europe,2.0000000000000000,,,,PRT,,,,,,,
PRY Paraguay ,Paraguay,2.33602890935735000,-,Americas,4.0000000000000000,,,,PRY,,,,,,,
"PSE Palestinian Territory, Occupied ",West Bank and Gaza,1.61231121877747000,-,Asia,6.0000000000000000,est,,,PSE,,,,,,,
PYF French Polynesia ,French Polynesia,1.49858687129258000,est,Oceania,4.0500000000000000,est,,,PYF,,,,,,,
QAT Qatar ,Qatar,1.84462051287982000,-,Asia,4.4700000000000000,,,,QAT,,,,,,,
ROU Romania ,Romania,2.29297858960098000,-,Europe,4.0000000000000000,,,,ROU,,,,,,,
RUS Russian Federation ,Russian Federation,2.44383226979666000,-,Europe,3.0000000000000000,,,,RUS,,,,,,,
RWA Rwanda ,Rwanda,2.91296012217994000,-,Africa,3.0000000000000000,est,,,RWA,,,,,,,
SAU Saudi Arabia ,Saudi Arabia,2.10380621362264000,-,Asia,5.0000000000000000,,,,SAU,,,,,,,
SDN Sudan ,Sudan,4.32886318784679000,-,Africa,6.0000000000000000,,,,SDN,,,,,,,
SEN Senegal ,Senegal,2.48531803232177000,-,Africa,4.0000000000000000,,,,SEN,,,,,,,
SGP Singapore ,Singapore,1.57213648135379000,-,Asia,2.0000000000000000,,,,SGP,,,,,,,
SLB Solomon Islands ,Solomon Islands,1.13338170853637000,-,Oceania,4.0500000000000000,est,,,SLB,,,,,,,
SLE Sierra Leone ,Sierra Leone,3.00000089155230000,-,Africa,5.0000000000000000,est,,,SLE,,,,,,,
SLV El Salvador ,El Salvador,2.05305221068972000,-,Americas,3.0000000000000000,,,,SLV,,,,,,,
SMR San Marino ,San Marino,1.29987874036966000,2017,Europe,2.5500000000000000,est,,,SMR,,,,,,,
SOM Somalia ,Somalia,2.51455039477944000,est,Africa,6.0000000000000000,est,,,SOM,,,,,,,
SRB Serbia ,Serbia,2.40590061193751000,-,Europe,4.0000000000000000,,,,SRB,,,,,,,
SSD South Sudan ,South Sudan,2.51455039477944000,est,Africa,6.0000000000000000,est,,,SSD,,,,,,,
STP Sao Tome and Principe ,Sao Tome and Principe,1.70831895243272000,-,Africa,3.7900000000000000,est,,,STP,,,,,,,
SUR Suriname ,Suriname,2.48802580489700000,-,Americas,3.5200000000000000,est,,,SUR,,,,,,,
SVK Slovakia ,Slovak Republic,1.73517006069125000,-,Europe,1.0000000000000000,,,,SVK,,,,,,,
SVN Slovenia ,Slovenia,1.45647001674854000,-,Europe,2.5500000000000000,,,,SVN,,,,,,,
SWE Sweden ,Sweden,0.97437249740177200,-,Europe,1.0000000000000000,,,,SWE,,,,,,,
SWZ Swaziland ,Swaziland,2.56582444585392000,-,Africa,3.7900000000000000,est,,,SWZ,,,,,,,
